task,segment_label,model,samples,target_lang,exact_match,accuracy,macro_f1,wer_vs_reference,cer_vs_reference,avg_latency_seconds,quality_score
gec,GEC,gemma2:9b,175,,0.1371428571428571,,,11.670210252775808,5.207092044921099,1.1172858809307218,100.0
gec,GEC,llama3.1:8b-instruct,175,,0.12,,,10.48901488306166,4.470443794460694,0.8216546565507139,86.95652173913047
gec,GEC,qwen2.5:7b-instruct,175,,0.0685714285714285,,,13.32388377037562,6.326508503954067,1.6513147955600704,47.82608695652171
gec,GEC,aya-expanse:8b,175,,0.0571428571428571,,,21.025277580911883,11.75387281984617,0.772416416948129,39.13043478260868
gec,GEC,falcon3:7b-instruct,175,,0.0057142857142857,,,27.04937396645405,18.026216011266385,1.892475532963872,0.0
intent_classification,Intent Classification,gemma2:9b,436,,,0.8623853211009175,0.737224340442371,,,0.2838983472368312,100.0
intent_classification,Intent Classification,llama3.1:8b-instruct,436,,,0.7201834862385321,0.7073575751971163,,,0.224344674297053,88.01706262267375
intent_classification,Intent Classification,qwen2.5:7b-instruct,436,,,0.7522935779816514,0.6448049254464802,,,0.2043550111211349,62.920120299239905
intent_classification,Intent Classification,aya-expanse:8b,436,,,0.7155963302752294,0.5632548711165439,,,0.2852583610716515,30.201170452187366
intent_classification,Intent Classification,falcon3:7b-instruct,436,,,0.5779816513761468,0.4879802335527893,,,0.187616963437737,0.0
legal_classification,Legal Classification,aya-expanse:8b,500,,,0.03,0.0114855517598967,,,0.8643555361470208,100.0
legal_classification,Legal Classification,llama3.1:8b-instruct,500,,,0.026,0.0104036137493259,,,0.8097406467553229,90.42832167815935
legal_classification,Legal Classification,falcon3:7b-instruct,500,,,0.026,0.007350719309747,,,0.7299257103567943,63.42000582208837
legal_classification,Legal Classification,gemma2:9b,500,,,0.008,0.0013709930146188,,,1.1505035645463504,10.518623311806664
legal_classification,Legal Classification,qwen2.5:7b-instruct,500,,,0.002,0.0001820167455405,,,1.167252564441413,0.0
machine_translation,Machine Translation (ENG),aya-expanse:8b,500,eng,,,,56.35921740143207,38.75229286201731,0.5305632830127143,100.0
machine_translation,Machine Translation (ENG),gemma2:9b,500,eng,,,,57.91472564401503,40.60827110249964,0.5685006914581172,92.77958350133466
machine_translation,Machine Translation (ENG),llama3.1:8b-instruct,500,eng,,,,64.23676563973862,45.59030847836735,0.4410482424250804,63.433701145516636
machine_translation,Machine Translation (ENG),qwen2.5:7b-instruct,500,eng,,,,66.48357310457624,47.46025660460552,0.4391546026053838,53.004385990298005
machine_translation,Machine Translation (ENG),falcon3:7b-instruct,500,eng,,,,77.90241013651166,57.08447630847007,0.4309444729066454,0.0
machine_translation,Machine Translation (FAS),aya-expanse:8b,500,fas,,,,109.22166503032273,108.40928313198148,0.5479325231285765,100.0
machine_translation,Machine Translation (FAS),gemma2:9b,500,fas,,,,110.07050602121794,105.16684636282264,0.5355501968562603,99.63785410643318
machine_translation,Machine Translation (FAS),falcon3:7b-instruct,500,fas,,,,114.45134376408726,109.46937236201772,0.4156837107036262,97.76883220954122
machine_translation,Machine Translation (FAS),qwen2.5:7b-instruct,500,fas,,,,116.33655102239511,104.84040843652136,0.8451714102807455,96.96453543966147
machine_translation,Machine Translation (FAS),llama3.1:8b-instruct,500,fas,,,,343.6136617294672,341.8958722715571,0.6042315792907029,0.0
machine_translation,Machine Translation (JPN),aya-expanse:8b,500,jpn,,,,109.06666666666666,104.59345489327896,0.6104213949004188,100.0
machine_translation,Machine Translation (JPN),gemma2:9b,500,jpn,,,,109.53761904761905,104.32080767774198,0.6291012362968177,99.2129117490231
machine_translation,Machine Translation (JPN),falcon3:7b-instruct,500,jpn,,,,115.93004329004329,112.66332526058108,0.8997349417647347,88.52944942891065
machine_translation,Machine Translation (JPN),llama3.1:8b-instruct,500,jpn,,,,168.11212121212122,125.91522767977013,0.5877744105560705,1.3191451493759974
machine_translation,Machine Translation (JPN),qwen2.5:7b-instruct,500,jpn,,,,168.90142857142857,118.80327658298036,0.5577188096814789,0.0
ner,NER,gemma2:9b,500,,,0.7955488246526634,0.1218257548657786,,,1.675276077417191,100.0
ner,NER,qwen2.5:7b-instruct,500,,,0.6894712583130309,0.0945771557769653,,,1.577289878907148,34.56106927414193
ner,NER,llama3.1:8b-instruct,500,,,0.8120102719431093,0.0944100819669818,,,1.0968341422863304,34.15983281270109
ner,NER,falcon3:7b-instruct,500,,,0.8040429314545334,0.092625774340406,,,1.6765450276839546,29.874725061343348
ner,NER,aya-expanse:8b,500,,,0.7347073154671758,0.0801860171949947,,,1.334985840015579,0.0
pos,POS,gemma2:9b,456,,,0.6032608695652174,0.4861942277048872,,,1.3605157698365746,100.0
