model,samples,exact_match,wer_vs_reference,cer_vs_reference,wer_vs_original,cer_vs_original,changed_input_rate,avg_latency_seconds,task,gleu_vs_reference,accuracy,macro_f1,target_lang,bleu,chrf,tokens,entity_f1,rouge_1,rouge_2,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1,max_text_length_chars
llama3.1:8b-instruct,175,0.12,10.48901488306166,4.470443794460694,11.52662721893491,4.620831677444994,0.9885714285714284,0.8216546565507139,gec,0.7957922337370458,,,,,,,,,,,,,,
gemma2:9b,175,0.1371428571428571,11.670210252775808,5.207092044921099,13.159763313609467,5.531269193251202,0.9771428571428572,1.1172858809307218,gec,0.7839899937460914,,,,,,,,,,,,,,
qwen2.5:7b-instruct,175,0.0685714285714285,13.32388377037562,6.326508503954067,12.662721893491124,6.05151920228332,0.9485714285714286,1.6513147955600704,gec,0.7505944187210611,,,,,,,,,,,,,,
aya-expanse:8b,175,0.0571428571428571,21.025277580911883,11.75387281984617,23.17159763313609,12.218649517684888,0.9942857142857144,0.772416416948129,gec,0.6546869210818822,,,,,,,,,,,,,,
falcon3:7b-instruct,175,0.0057142857142857,27.04937396645405,18.026216011266385,24.71005917159763,17.3994725242964,0.9142857142857144,1.892475532963872,gec,0.6171921475312314,,,,,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,175,0.0457142857142857,28.49043231750532,17.80594374029538,31.14792899408284,18.35687705480689,0.9942857142857144,6.329715394138225,gec,0.5933270566082146,,,,,,,,,,,,,,
gemma2:9b,436,,,,,,,0.2838983472368312,intent_classification,,0.8623853211009175,0.737224340442371,,,,,,,,,,,,
qwen2.5:7b-instruct,436,,,,,,,0.2043550111211349,intent_classification,,0.7522935779816514,0.6448049254464802,,,,,,,,,,,,
llama3.1:8b-instruct,436,,,,,,,0.224344674297053,intent_classification,,0.7201834862385321,0.7073575751971163,,,,,,,,,,,,
aya-expanse:8b,436,,,,,,,0.2852583610716515,intent_classification,,0.7155963302752294,0.5632548711165439,,,,,,,,,,,,
falcon3:7b-instruct,436,,,,,,,0.187616963437737,intent_classification,,0.5779816513761468,0.4879802335527893,,,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,436,,,,,,,1.88507576204768,intent_classification,,0.7018348623853211,0.3240962553971985,,,,,,,,,,,,
gemma2:9b,500,,,,,,,1.348972689469345,legal_classification,,0.346,0.1263091597727424,,,,,,,,,,,,
aya-expanse:8b,500,,,,,,,1.0697465413305909,legal_classification,,0.292,0.0982484059805299,,,,,,,,,,,,
qwen2.5:7b-instruct,500,,,,,,,1.4166997012766078,legal_classification,,0.202,0.0511080784239869,,,,,,,,,,,,
llama3.1:8b-instruct,500,,,,,,,0.9137702800696716,legal_classification,,0.182,0.0761121124331486,,,,,,,,,,,,
falcon3:7b-instruct,500,,,,,,,1.0136549264173955,legal_classification,,0.122,0.0467149667780875,,,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,,,,,,3.7072363043017686,legal_classification,,0.218,0.1558109611519788,,,,,,,,,,,,
aya-expanse:8b,500,,56.35921740143207,38.75229286201731,,,,0.5305632830127143,machine_translation,,,,eng,35.036814909172534,61.59052523658983,,,,,,,,,
gemma2:9b,500,,57.91472564401503,40.60827110249964,,,,0.5685006914581172,machine_translation,,,,eng,35.072913435884296,61.78070207283761,,,,,,,,,
llama3.1:8b-instruct,500,,64.23676563973862,45.59030847836735,,,,0.4410482424250804,machine_translation,,,,eng,32.57554115080853,60.04451691210006,,,,,,,,,
qwen2.5:7b-instruct,500,,66.48357310457624,47.46025660460552,,,,0.4391546026053838,machine_translation,,,,eng,29.27968644477877,56.906874422377385,,,,,,,,,
falcon3:7b-instruct,500,,77.90241013651166,57.08447630847007,,,,0.4309444729066454,machine_translation,,,,eng,21.354949153305885,49.13209178946584,,,,,,,,,
aya-expanse:8b,500,,109.22166503032273,108.40928313198148,,,,0.5479325231285765,machine_translation,,,,fas,2.1461245806204623,3.407892593377442,,,,,,,,,
gemma2:9b,500,,110.07050602121794,105.16684636282264,,,,0.5355501968562603,machine_translation,,,,fas,1.9263396308542813,2.9062567396258183,,,,,,,,,
falcon3:7b-instruct,500,,114.45134376408726,109.46937236201772,,,,0.4156837107036262,machine_translation,,,,fas,1.9841049070686287,3.1243400415660134,,,,,,,,,
qwen2.5:7b-instruct,500,,116.33655102239511,104.84040843652136,,,,0.8451714102807455,machine_translation,,,,fas,4.183018917468168,18.324605450203205,,,,,,,,,
llama3.1:8b-instruct,500,,343.6136617294672,341.8958722715571,,,,0.6042315792907029,machine_translation,,,,fas,0.5552032850681538,2.0578916955600093,,,,,,,,,
aya-expanse:8b,500,,109.06666666666666,104.59345489327896,,,,0.6104213949004188,machine_translation,,,,jpn,2.2790024468662025,16.53276015149375,,,,,,,,,
gemma2:9b,500,,109.53761904761905,104.32080767774198,,,,0.6291012362968177,machine_translation,,,,jpn,6.227433892289003,16.72590200409437,,,,,,,,,
falcon3:7b-instruct,500,,115.93004329004329,112.66332526058108,,,,0.8997349417647347,machine_translation,,,,jpn,5.6647324508525685,8.894853560612535,,,,,,,,,
llama3.1:8b-instruct,500,,168.11212121212122,125.91522767977013,,,,0.5877744105560705,machine_translation,,,,jpn,2.3580909895219757,14.844702415131804,,,,,,,,,
qwen2.5:7b-instruct,500,,168.90142857142857,118.80327658298036,,,,0.5577188096814789,machine_translation,,,,jpn,3.656416530385962,12.552837601938426,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,56.50835577683349,39.20458047529421,,,,4.717792068468407,machine_translation,,,,eng,34.87238053476528,61.66588246706688,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,110.69957869292418,107.39401276584104,,,,5.300364341337234,machine_translation,,,,fas,2.025537194284977,3.5266274069886734,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,148.45476190476188,111.66315911976037,,,,6.930157342677936,machine_translation,,,,jpn,2.4475445895652754,14.335689977909274,,,,,,,,,
gemma2:9b,500,,,,,,,1.675276077417191,ner,,0.7955488246526634,0.1218257548657786,,,,15187.0,0.0431557653405259,,,,,,,
qwen2.5:7b-instruct,500,,,,,,,1.577289878907148,ner,,0.6894712583130309,0.0945771557769653,,,,15187.0,0.0448207171314741,,,,,,,
