task,segment_label,model,samples,target_lang,exact_match,accuracy,macro_f1,wer_vs_reference,cer_vs_reference,bleu,chrf,rouge_1,rouge_2,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1,avg_latency_seconds,quality_score
gec,GEC,llama3.1:8b-instruct,175,,0.12,,,10.48901488306166,4.470443794460694,,,,,,,,,0.8216546565507139,100.0
gec,GEC,gemma2:9b,175,,0.1371428571428571,,,11.670210252775808,5.207092044921099,,,,,,,,,1.1172858809307218,94.17073090873077
gec,GEC,qwen2.5:7b-instruct,175,,0.0685714285714285,,,13.32388377037562,6.326508503954067,,,,,,,,,1.6513147955600704,77.67625245144023
gec,GEC,aya-expanse:8b,175,,0.0571428571428571,,,21.025277580911883,11.75387281984617,,,,,,,,,0.772416416948129,30.30637927164311
gec,GEC,falcon3:7b-instruct,175,,0.0057142857142857,,,27.04937396645405,18.026216011266385,,,,,,,,,1.892475532963872,11.787257078698104
gec,GEC,ilsp/Llama-Krikri-8B-Instruct:latest,175,,0.0457142857142857,,,28.49043231750532,17.80594374029538,,,,,,,,,6.329715394138225,0.0
intent_classification,Intent Classification,gemma2:9b,436,,,0.8623853211009175,0.737224340442371,,,,,,,,,,,0.2838983472368312,100.0
intent_classification,Intent Classification,llama3.1:8b-instruct,436,,,0.7201834862385321,0.7073575751971163,,,,,,,,,,,0.224344674297053,92.77057979682283
intent_classification,Intent Classification,qwen2.5:7b-instruct,436,,,0.7522935779816514,0.6448049254464802,,,,,,,,,,,0.2043550111211349,77.62935555790514
intent_classification,Intent Classification,aya-expanse:8b,436,,,0.7155963302752294,0.5632548711165439,,,,,,,,,,,0.2852583610716515,57.8897016147414
intent_classification,Intent Classification,falcon3:7b-instruct,436,,,0.5779816513761468,0.4879802335527893,,,,,,,,,,,0.187616963437737,39.66904795099354
intent_classification,Intent Classification,ilsp/Llama-Krikri-8B-Instruct:latest,436,,,0.7018348623853211,0.3240962553971985,,,,,,,,,,,1.88507576204768,0.0
legal_classification,Legal Classification,ilsp/Llama-Krikri-8B-Instruct:latest,500,,,0.218,0.1558109611519788,,,,,,,,,,,3.7072363043017686,100.0
legal_classification,Legal Classification,gemma2:9b,500,,,0.346,0.1263091597727424,,,,,,,,,,,1.348972689469345,72.95794263707933
legal_classification,Legal Classification,aya-expanse:8b,500,,,0.292,0.0982484059805299,,,,,,,,,,,1.0697465413305909,47.23678398844616
legal_classification,Legal Classification,llama3.1:8b-instruct,500,,,0.182,0.0761121124331486,,,,,,,,,,,0.9137702800696716,26.946127420876586
legal_classification,Legal Classification,qwen2.5:7b-instruct,500,,,0.202,0.0511080784239869,,,,,,,,,,,1.4166997012766078,4.026831297621643
legal_classification,Legal Classification,falcon3:7b-instruct,500,,,0.122,0.0467149667780875,,,,,,,,,,,1.0136549264173955,0.0
machine_translation,Machine Translation (ENG),gemma2:9b,500,eng,,,,57.91472564401503,40.60827110249964,35.072913435884296,61.78070207283761,,,,,,,0.5685006914581172,100.0
machine_translation,Machine Translation (ENG),ilsp/Llama-Krikri-8B-Instruct:latest,500,eng,,,,56.50835577683349,39.20458047529421,34.87238053476528,61.66588246706688,,,,,,,4.717792068468407,99.09223540611667
machine_translation,Machine Translation (ENG),aya-expanse:8b,500,eng,,,,56.35921740143207,38.75229286201731,35.036814909172534,61.59052523658983,,,,,,,0.5305632830127143,98.49646062304733
machine_translation,Machine Translation (ENG),llama3.1:8b-instruct,500,eng,,,,64.23676563973862,45.59030847836735,32.57554115080853,60.04451691210006,,,,,,,0.4410482424250804,86.27370816365499
machine_translation,Machine Translation (ENG),qwen2.5:7b-instruct,500,eng,,,,66.48357310457624,47.46025660460552,29.27968644477877,56.906874422377385,,,,,,,0.4391546026053838,61.46748503377085
machine_translation,Machine Translation (ENG),falcon3:7b-instruct,500,eng,,,,77.90241013651166,57.08447630847007,21.354949153305885,49.13209178946584,,,,,,,0.4309444729066454,0.0
machine_translation,Machine Translation (FAS),qwen2.5:7b-instruct,500,fas,,,,116.33655102239511,104.84040843652136,4.183018917468168,18.324605450203205,,,,,,,0.8451714102807455,100.0
machine_translation,Machine Translation (FAS),ilsp/Llama-Krikri-8B-Instruct:latest,500,fas,,,,110.69957869292418,107.39401276584104,2.025537194284977,3.5266274069886734,,,,,,,5.300364341337234,9.029086843121132
machine_translation,Machine Translation (FAS),aya-expanse:8b,500,fas,,,,109.22166503032273,108.40928313198148,2.1461245806204623,3.407892593377442,,,,,,,0.5479325231285765,8.299161823217592
machine_translation,Machine Translation (FAS),falcon3:7b-instruct,500,fas,,,,114.45134376408726,109.46937236201772,1.9841049070686287,3.1243400415660134,,,,,,,0.4156837107036262,6.556015935926798
machine_translation,Machine Translation (FAS),gemma2:9b,500,fas,,,,110.07050602121794,105.16684636282264,1.9263396308542813,2.9062567396258183,,,,,,,0.5355501968562603,5.2153437803234866
machine_translation,Machine Translation (FAS),llama3.1:8b-instruct,500,fas,,,,343.6136617294672,341.8958722715571,0.5552032850681538,2.0578916955600093,,,,,,,0.6042315792907029,0.0
machine_translation,Machine Translation (JPN),gemma2:9b,500,jpn,,,,109.53761904761905,104.32080767774198,6.227433892289003,16.72590200409437,,,,,,,0.6291012362968177,100.00000000000001
machine_translation,Machine Translation (JPN),aya-expanse:8b,500,jpn,,,,109.06666666666666,104.59345489327896,2.2790024468662025,16.53276015149375,,,,,,,0.6104213949004188,97.5336399207008
machine_translation,Machine Translation (JPN),llama3.1:8b-instruct,500,jpn,,,,168.11212121212122,125.91522767977013,2.3580909895219757,14.844702415131804,,,,,,,0.5877744105560705,75.97767907401493
machine_translation,Machine Translation (JPN),ilsp/Llama-Krikri-8B-Instruct:latest,500,jpn,,,,148.45476190476188,111.66315911976037,2.4475445895652754,14.335689977909274,,,,,,,6.930157342677936,69.47775200938024
machine_translation,Machine Translation (JPN),qwen2.5:7b-instruct,500,jpn,,,,168.90142857142857,118.80327658298036,3.656416530385962,12.552837601938426,,,,,,,0.5577188096814789,46.71129373960917
machine_translation,Machine Translation (JPN),falcon3:7b-instruct,500,jpn,,,,115.93004329004329,112.66332526058108,5.6647324508525685,8.894853560612535,,,,,,,0.8997349417647347,0.0
ner,NER,gemma2:9b,500,,,0.7955488246526634,0.1218257548657786,,,,,,,,,,,1.675276077417191,100.0
ner,NER,qwen2.5:7b-instruct,500,,,0.6894712583130309,0.0945771557769653,,,,,,,,,,,1.577289878907148,34.56106927414193
ner,NER,llama3.1:8b-instruct,500,,,0.8120102719431093,0.0944100819669818,,,,,,,,,,,1.0968341422863304,34.15983281270109
ner,NER,ilsp/Llama-Krikri-8B-Instruct:latest,500,,,0.7439915717389873,0.092650906902715,,,,,,,,,,,16.443454859456047,29.935082219468857
ner,NER,falcon3:7b-instruct,500,,,0.8040429314545334,0.092625774340406,,,,,,,,,,,1.6765450276839546,29.874725061343348
ner,NER,aya-expanse:8b,500,,,0.7347073154671758,0.0801860171949947,,,,,,,,,,,1.334985840015579,0.0
pos,POS,gemma2:9b,456,,,0.6032608695652174,0.4861942277048872,,,,,,,,,,,1.3605157698365746,100.0
pos,POS,falcon3:7b-instruct,456,,,0.4376874062968516,0.3321202120515754,,,,,,,,,,,1.3853740922140627,49.697650477747416
pos,POS,llama3.1:8b-instruct,456,,,0.3902736131934033,0.3093092202386063,,,,,,,,,,,1.210120253228652,42.25027865285041
pos,POS,qwen2.5:7b-instruct,456,,,0.354291604197901,0.3017091028510529,,,,,,,,,,,1.1163138636738152,39.76897926165977
pos,POS,ilsp/Llama-Krikri-8B-Instruct:latest,456,,,0.335832083958021,0.2693759261935509,,,,,,,,,,,15.236091668055836,29.212788157702878
