task,segment_label,model,samples,target_lang,exact_match,accuracy,macro_f1,wer_vs_reference,cer_vs_reference,avg_latency_seconds,quality_score
gec,GEC,gemma2:9b,100,,0.17,,,11.416666666666666,5.183989670755326,1.0888694670260883,99.99999999999999
gec,GEC,llama3.1:8b-instruct,100,,0.15,,,10.291666666666666,4.583602324080052,0.8107552596181631,88.23529411764706
gec,GEC,qwen2.5:7b-instruct,100,,0.09,,,12.708333333333334,6.4686894770819885,1.5877069607633163,52.94117647058823
gec,GEC,aya-expanse:8b,100,,0.08,,,22.45833333333333,13.008392511297613,0.7755243062134832,47.05882352941176
gec,GEC,falcon3:7b-instruct,100,,0.0,,,30.125,21.59457714654616,1.8393554207263516,0.0
intent_classification,Intent Classification,gemma2:9b,100,,,0.85,0.8470143871701158,,,0.3028214442613535,100.0
intent_classification,Intent Classification,llama3.1:8b-instruct,100,,,0.72,0.7009348586383469,,,0.2451733903121203,45.77081155078847
intent_classification,Intent Classification,aya-expanse:8b,100,,,0.71,0.6354981991685286,,,0.3052437509316951,21.478722347447913
intent_classification,Intent Classification,qwen2.5:7b-instruct,100,,,0.78,0.5831717781662165,,,0.2163349648029543,2.053554605411785
intent_classification,Intent Classification,falcon3:7b-instruct,100,,,0.58,0.5776400286204207,,,0.2042369671794585,0.0
legal_classification,Legal Classification,falcon3:7b-instruct,100,,,0.06,0.0101282051282051,,,0.7282163700135424,100.0
legal_classification,Legal Classification,aya-expanse:8b,100,,,0.01,0.0081632653061224,,,0.6859502804884687,66.54217655478342
legal_classification,Legal Classification,llama3.1:8b-instruct,100,,,0.01,0.0069444444444444,,,0.691215700423345,45.78882179904021
legal_classification,Legal Classification,qwen2.5:7b-instruct,100,,,0.02,0.0068592533966495,,,1.1820788253075445,44.338239443182786
legal_classification,Legal Classification,gemma2:9b,100,,,0.01,0.0042553191489361,,,0.9612989127449691,0.0
machine_translation,Machine Translation (ENG),aya-expanse:8b,87,eng,,,,54.68785306069433,38.79430219602396,0.5791006462418357,100.0
machine_translation,Machine Translation (ENG),qwen2.5:7b-instruct,87,eng,,,,58.65559441550345,43.49477604145272,0.4708300018201357,89.19104017717832
machine_translation,Machine Translation (ENG),gemma2:9b,87,eng,,,,62.967283972770375,43.33904831989743,0.621405662259558,77.44509329571382
machine_translation,Machine Translation (ENG),falcon3:7b-instruct,87,eng,,,,90.8891144481186,69.52941678970454,0.4787227385168917,1.380169501759481
machine_translation,Machine Translation (ENG),llama3.1:8b-instruct,87,eng,,,,91.3957455854844,64.71796831415912,0.4819377470204884,0.0
machine_translation,Machine Translation (FAS),qwen2.5:7b-instruct,4,fas,,,,104.76979916635088,90.98444912178464,0.8844028153689578,100.0
machine_translation,Machine Translation (FAS),aya-expanse:8b,4,fas,,,,111.12637362637363,101.73481717478428,0.526779216947034,88.47738981110471
machine_translation,Machine Translation (FAS),gemma2:9b,4,fas,,,,112.91208791208793,109.29434144072302,0.5632559265359305,85.24041213508868
machine_translation,Machine Translation (FAS),falcon3:7b-instruct,4,fas,,,,117.68136078480906,111.406550321024,0.4421462137834169,76.59511543598549
machine_translation,Machine Translation (FAS),llama3.1:8b-instruct,4,fas,,,,159.93589743589743,159.8809770273586,0.4466401160461828,0.0
machine_translation,Machine Translation (JPN),aya-expanse:8b,9,jpn,,,,133.33333333333334,212.94474531071583,0.6264605577000313,100.0
machine_translation,Machine Translation (JPN),gemma2:9b,9,jpn,,,,144.44444444444446,148.56864172587223,0.5955145094388475,97.05882352941177
machine_translation,Machine Translation (JPN),falcon3:7b-instruct,9,jpn,,,,155.55555555555554,229.04515302643236,0.8576046239015542,94.11764705882354
machine_translation,Machine Translation (JPN),qwen2.5:7b-instruct,9,jpn,,,,255.55555555555557,250.1882522232599,0.547680103401136,67.6470588235294
machine_translation,Machine Translation (JPN),llama3.1:8b-instruct,9,jpn,,,,511.1111111111111,434.4748104591047,0.6328504387703207,0.0
ner,NER,gemma2:9b,100,,,0.7967806841046278,0.1089096757380743,,,1.6565384734398685,100.0
ner,NER,llama3.1:8b-instruct,100,,,0.8158953722334004,0.0991758397798908,,,1.0877542599849404,72.96971695537863
ner,NER,falcon3:7b-instruct,100,,,0.8061703554661301,0.0936613132499052,,,1.5652005335595458,57.656205036445314
ner,NER,qwen2.5:7b-instruct,100,,,0.6938296445338699,0.0906179143206064,,,1.4376916960300878,49.20486736956354
ner,NER,aya-expanse:8b,100,,,0.7424547283702213,0.0728988210159282,,,1.3204072235221975,0.0
pos,POS,gemma2:9b,100,,,0.5898230088495575,0.469192161939368,,,1.2990952792088502,100.0
pos,POS,falcon3:7b-instruct,100,,,0.4805309734513274,0.3530651796261314,,,1.2560761601198465,60.15406991341377
pos,POS,qwen2.5:7b-instruct,100,,,0.3805309734513274,0.324452592213671,,,1.043718259788584,50.33641052949916
pos,POS,llama3.1:8b-instruct,100,,,0.3765486725663717,0.2885778403909901,,,1.1340489560342393,38.026929782428724
pos,POS,aya-expanse:8b,100,,,0.2327433628318584,0.177752152731678,,,0.9806363653950392,0.0
summarization,Summarization,llama3.1:8b-instruct,100,,,,,189.0613331180388,143.03134722832755,3.80750177557813,100.0
summarization,Summarization,aya-expanse:8b,100,,,,,243.16152269465397,190.9488020810996,3.68814569687238,77.39148243526459
summarization,Summarization,falcon3:7b-instruct,100,,,,,327.5376502688857,257.9313469852699,3.846800343084615,42.130623328572256
summarization,Summarization,gemma2:9b,100,,,,,382.6106536762448,300.8246285670096,5.419603800382465,19.11556599472119
summarization,Summarization,qwen2.5:7b-instruct,100,,,,,428.3525180518102,319.7216996508312,4.375187614061869,0.0
